,0,1,2
65,生气/anger, ,"monanggg hiks, yang lain udah berhasil kurus aku kok belom siihh:( susah banget ya allah"
66,开心/happiness, ,"fakyuh buat elo elo eloo yang suka bikin aku tydac fun menjalani hari hariku,, fakkkkkkkkkkkyuhhhhhhhh"
67,开心/happiness, ,"Samsung Galaxy J7 Prime,mau yang kanan,bismillah,wish me luck @BTS_twt"
68,生气/anger, ,Biar yg di search bar nya ilang dan di ganti sama kata kata yang di bersih bersih itu
69,厌恶/disgust, ,Mereka yang membalik tangan mereka terhadap rekan-rekan mereka pasti akan mengalami kematian yang mengerikan (Uchiha Itachi)
70,伤心/sadness, ,"Tuhan, damaikanlah aku tentang masa depanku dan bantulah aku ikhlas melakukan yang terbaik hari ini dan esok. Aamiin"
71,伤心/sadness, ,Enak sih cara pakenya cuman gampang potek aja apa aku yang terlalu kasar pakenya ya :(
72,伤心/sadness, ,Aku hanya duduk termenung menanyakan kedalam hati tentang sinar yang datang dan menerangi hatiku walaupun samar-samar.
73,喜欢/like, ,"Mungkin aku akan mendapatkan yang lebih baik? Begitu pula dengan kamu,semoga dia lebih baik dari aku ya"
74,开心/happiness, ,"Cari duit yang banyak, lulus kuliah, bb turun dan bisa beli baju dengan mudah :("
75,厌恶/disgust, ,"3 kata yang lagi nge-trend di 2020: Hujan, banjir, dan bocor."
76,伤心/sadness, ,Doa terbaik buat temen-temen yang saat ini masih bertahan dengan banjir ini. Godspeed!
77,伤心/sadness, ,"TAHUN BARU 2020, disambut BANJIR ibu kota. cerita LAMA yang sudah SEMBUH tapi DIULANG kembali oleh GABENER seiman"
78,厌恶/disgust, ,banjir 5 tahun yang lalu terulang kembali hmm pindah rumah aja apa ya jangan di bekasi mulu
79,伤心/sadness, ,Alhamdulillah beb. Surut cepet tapi kasian yang lain masih pada belom surut :( doanya ya
80,害怕/fear, ,"Banyak sih yang sayang sama seseorang tapi nggak berani buat ngungkapin, takut cintanya tak terbalas. :')"
81,开心/happiness, ,"karya warga dki sendiri ,setiap gubernur yang menjabat di dki disalahin semua ,hha dki lucu"
82,开心/happiness, ,"aku optimis ke hal2 yang laen, utk yg satu ini maaf aku tau kemampuanku dewe hehe"
83,生气/anger, ,Itu mbaknya yang itu lagi ada masalah apa sih.. kok kata kata nya ngerii amatt 
84,生气/anger, ,Benci la kenapa time matriks dengan time dekat U ni kena hadap orang yang sama suka buat bising?
85,惊喜/surprise, ,Lho sudah pindah to ?? Kirain u mbak mbak yang jaga di SM entertainment F5 
86,开心/happiness, ,"kalau emang pernah, ayolah kita berbagi cerita. walaupun itu hanya sebagian kecil yang pernah kalian alami."
87,喜欢/like, ,Selamat pagi Bpk/Ibu Pelanggan informasi apa yang bisa kami bantu prihal perbankan ?.  ^komar
88,喜欢/like, ,"Fosil adalah sisa-sisa diawetkan atau jejak hewan, tumbuhan, dan organisme lain dari masa lalu yang jauh."
89,生气/anger, ,"Kan katanya semua baka indah pada waktunya,terus gue kapan dong dapet yang katanya indah pada waktunya? Hahahahahahahaahhahhahahhaahahahahahahahahahahahahahaahahahahahaahahahahahhaha"
90,生气/anger, ,"Apakah engkau mengantuk saat harus belajar, tapi bermata lebar saat menonton yang tidak ada gunanya?"
91,喜欢/like, ,"Ohya? Coba sarankan saya dua atau tiga film horor rekomendasimu, yang benar-benar horror ya."
92,喜欢/like, ,mencintai bukan hanya mengingat tetapi juga mendoakan orang yang kita cinta meski sedang tidak bersama.
93,生气/anger, ,"mau dipanggil oppa tapi dn kinci, yang ganas dong! ayam gitu misalnya!"
94,开心/happiness, ,"Sudah sudah, yang penting gubernur sekarang takutnya sama ormas, bukan sama janji kampanye nya dulu..."
95,开心/happiness, ,"kalian yang tinggal di Jakarta dan sekitarnya, stay safe yaaaa! semoga banjirnya lekas surut"
96,开心/happiness, ,Lakukan yang terbaik sekarang. Karena akan lebih buruk bila menyesali yang sudah berlalu dan mengkhawatirkan yang akan datang.
97,惊喜/surprise, ,"Pertama denger lagu Pretty U, tapi gatau yang nyanyi siapa, ngestan waktu Don't Wanna Cry"
98,害怕/fear, ,"Masih banyak yang lainnya, tapi mohon maaf saya lupa kalau nggak liat parfum nya hshshshs."
99,厌恶/disgust, ,jaman sekarang yang nama nya pacaran. kebanyakan untung buat cwo :) rugi buat cwe :D
100,喜欢/like,惊喜/surprise,"“Sejak pertama kali melihatmu, kau seperti pemandangan yang indah yang membuat hatiku berbunga bunga” – Love rain"
101,开心/happiness, ,"2019, terimakasih atas segala nikmat yang diberi, baik dalam bentuk ujian ataupun kesenangan, terimakasih atas segala pelajaran"
102,害怕/fear, ,harapanku untuk tahun yang baru sederhana saja; menjadi manusia yang tidak disia-siakan dan tak menyia-nyiakan.
103,喜欢/like, ,"Selamat malam kamu, iyaa kamu yang jauh disana. Jaga mata, jaga hati, jaga perasaan. Akusayangkamu"
104,厌恶/disgust, ,"Dulu, kalo ketemu sama orang yang disuka, gabisa ngomong, cuma bisa senyum sambil malu-malu gitu. Hehe"
105,开心/happiness,喜欢/like,wah saya bahagia sekali hari pertama 2020 bisa rebahan tanpa ada yang ganggu. )
106,伤心/sadness, ,"Iyaa dong aku masih inget sama kamuu, aku bingung kalau mau jadi yang lain jadi siapa yaa :("
107,开心/happiness, ,"Semoga 2020 bisa lebih banyak explore diri lagi, belajar lagi, liburan ke tempat2 yang bagus lagi "
108,厌恶/disgust, ,Wah w aja yang nge chat juga bosen kalo tiap hari awkwkwkwkwkwk kok u bisa gak bosen
109,厌恶/disgust, ,"Kebetulan yang sering, bilang tidak padahal iya. Sekarang ajah ngeles, udah ketahuan baru angkat bicara."
110,伤心/sadness, ,"Kamu itu seperti perampok, yang masuk menyelinap kedalam mimpiku dan mengambil hati beserta perasaanku."
111,厌恶/disgust, ,"""Aku tidak suka dengan orang yang membohongi dirinya sendiri ditengah turunnya salju"" (Uzumaki Naruto)"
112,开心/happiness, ,Hari pertama di 2020 aku gunakan untuk kegiatan yang sangat menyenangkan yaitu tidur. Sekian.
113,喜欢/like, ,"“Singkat saja Aku ingin dibuatkan minuman manis di setiap pagi, sertakan senyumanmu yang manja”"
114,伤心/sadness, ,yaallah gue nangis tetangga gue sibuk bantuin keluarga yang meninggal sedangkan disini hujan ga tega liatnya 
115,开心/happiness, ,"Papa yang foto dari rumah tetangga kak, tp udah pada ngungsi ke regensi kok dari pagi... Thank yoou"
116,伤心/sadness, ,Tahun baru disambut dengan hujan yang tak kunjung reda. Karena cuaca di depok aduhai syahdu yaudah tarik selimut lagi
117,伤心/sadness, ,Tak sanggup lagi aku mencerna arti dan tujuan.. Hanya menanti tanya yang tak terjawab darimu..
118,开心/happiness, ,selamat pagii !! mulakan pagi anda dengan melupakan apa yang jadi semalam!!!
119,喜欢/like, ,"Harapan harapan harapan semoga akan segera tercapai, tahun yang baru benahi mimpi yang baru"
120,厌恶/disgust, ,"""Jangan membenci mereka yang mengatakan hal buruk untuk menjatuhkanmu, karena merekalah yang membuatmu setiap hari semakin kuat"""
121,开心/happiness,喜欢/like,"by the way, aku nisa 05l! yang baru kenal, salkennn yaaaa! >~<"
122,伤心/sadness, ,"Para warga memutuskan untuk menggantung @Ephorizey yang ternyata adalah seorang werewolf, hikd byebye werewolf!"
123,生气/anger, ,Apa kamu masih ingat sama apa yang pernah kamu ucap? lupa ya? hmm yaudahlah
124,开心/happiness, ,terimakasih 2019 kuharap di tahun 2020 tidak ada lagi rasa kecewa yang begitu dalam.
125,喜欢/like, ,"Nyari kordinatnya suka suka kalian ya, ya yang cepet dimana, google maps boleh, google biasa boleh."
126,伤心/sadness, ,kamu adalah salah satu hal yang tak bisa ku miliki :') #mblo
127,伤心/sadness, ,"Tak ada harap lebih 2020, selain semoga Tuhan beri keselamatan pada siapapun dengan apa yang ada saat ini."
128,伤心/sadness, ,"Sesungguhnya, tidak ada KETIDAK-PASTIAN CINTA, yang ada adalah orang-orang yang tidak pasti dalam mencintai."
129,生气/anger, ,Industrialisasi masyarakat adalah kontribusi lain mengapa nilai pekerjaan rumah tidak diberi nilai ekonomi yang sama dengan bidang pekerjaan lainnya.
130,喜欢/like, ,Seringkali kita merasa mencintai tetapi yang terjadi sebenarnya adalah kita hnya mementingkan pengakuan ats eksistensi kita. dadongbleleng
131,开心/happiness, ,"Gapapa jatuh dipelukaan yang salah, daripada di flyover yang salah! Wkwkwk. ""Lotte tuh lotteee"" wkwkwk"
132,伤心/sadness, ,emang kalo semalem tahun baruan nya gangapa ngapain kenapa? gakada yang salah kan?
133,惊喜/surprise, ,"Jatuh itu biasa, tapi segera bangun dan bangkit - itu hanya untuk anak muda yang smart!"
134,开心/happiness,伤心/sadness,"Kesalahan-kesalahan yang ada di hari-hari, pekan-pekan, dan tahun-tahun lalu mari kita bersihkan dengan niat memperbaiki diri."
135,惊喜/surprise, ,Serem banget... Profs Iyas sama Profs Hans apa tidak mau mengurung yang model begini...? 
136,害怕/fear, ,Kenapa lah susah nak jumpe yang terbaik. Ni je nama nya ujian. Allahu. Aku tak kuat
137,生气/anger, ,"Cuaca mengingatkan ku dengan jemuran dikoss yang gua tinggal  apakabar, terbang ga ya?"
138,惊喜/surprise, ,Auto kaget dapet chat yang isinya video muka dia sendiri sambil say hello dari orang yang gak dikenal 
139,开心/happiness,喜欢/like,"aku jatuh cinta pertama kali sama yang ""seseorang sepertiku"" rasanya bikin aku semangat ehe"
140,喜欢/like, ,Di 2020 aku ingin memperbaiki hubungan baik dengan orang yang sempet ga baik2 aja pas di 2019. Hihi
141,惊喜/surprise, ,lembut gitu ya ric!! tapi kebanyakan gak sih apa cm gue aja yang sempet rada eneg..
142,惊喜/surprise, ,Hey... Gada mau yang jd pacarku d sini apa? Usah 2020 lho...
143,开心/happiness, ,Banyak kok tam. Masih banyak yang mensyaratkan 2.75 juga tam. Mangat pak bos!
144,生气/anger, ,Lp ada yang jual acc via tsel yang no rate? acc terserah apa aja jangan selfol tapi
145,生气/anger, ,"Liat berita banjir ada dimana mana, Kalo dah gini siapa yang patut disalahkan?"
146,厌恶/disgust, ,Hindari sarapan manis yang berlebihan karena bisa menurunkan produksi zat kimia dalam otak yang bikin cepat mengantuk.
147,开心/happiness,喜欢/like,Tahun 2019 teramat sangat berkesan. Sama seperti tahun tahun sebelumnya yang selalu ada cerita unik disetiap tahunnya 
148,惊喜/surprise, ,Aku tuh heran banget sama cowo yang suka memperalat cewe. Gak tau diri banget-_
149,惊喜/surprise,开心/happiness,Ngga ko!! Aku seneng bgt kalo ada yang suka jbjb :')
150,开心/happiness, ,"Selamat Tahun Baru Mas Arsa, semoga menjadi awal yang baik dalam meraih kesuksesan yang lain. Aamiin"
151,喜欢/like, ,"Untuk dia yang disana, terimakasih banyak untuk setiap perjalanan di 2019 meskipun tidak selalu berakhir baik."
152,开心/happiness,喜欢/like,"hanya ibu yang mampu menerimaku,walaupun akutelah melakukan kesalahan besar,terima kasih ibu:)*bot"
153,厌恶/disgust, ,"Komentari juga seperti ini yang menebar kebencian ke semua pemimpin, jangan cuma yang benci jokowi yang dikomenin."
154,喜欢/like, ,"azam aku, aku nak lebih hargai diri & hargai orang yang pernah buat aku bahagia ."
155,害怕/fear, ,"Tunggu kabar dari dispatch ya, ini aku lagi takut keluar rumah takut banyan media yang datang;("
156,开心/happiness, ,(nctea) drop foto bias yang paling kalian suka pas di mbc gayo/sbs gayo/kbs gayo!
157,开心/happiness, ,Yg ditungu tunggu dari 365 hari yang lalu. Selamat tgl 1 di halaman baru!
158,喜欢/like, ,"Tak ada Seorang pun yang Hina Didunia ini, Tidak lain adalah orang2 itulah yang Memberikan Cap Hina"
159,害怕/fear, ,Terus piye mbak? Ada yang kalah apa tidak? Semoga masih baik baik saja sekarang dan seterusnya
160,开心/happiness, ,"hehehe iya. padahal aku di tl 24/7, kak sekip tuh yang ilang ditelan bumi!"
161,伤心/sadness, ,"""Maaf, ya. Sepertinya darah hitam yang dingin masih mengalir dalam tubuhku."" Ai Haibara"
162,害怕/fear, ,ada yang menyakiti hatimu....??? semoga lebih sabar ya....
163,厌恶/disgust, ,"Setau saya yang dikasih air tuh hewan peliharaan ya mba bukan handphone,,,,"
164,厌恶/disgust, ,Ujannya asli gak berhenti. Banyak daerah yang banjir Halim tenggelem padahal harus flight aku besok huuu
165,伤心/sadness, ,"Pengen bantu korban banjir masa, trus mau cari kucing yang kena banjir juga, kasian :'(("
166,开心/happiness, ,Terimakasih buat ucapan dan doa dari kalian semua yang selalu ingat moment setiap awal tahun. Loveyouall 
167,厌恶/disgust, ,Dia yang membencimu akan selalu menilai semua yang kamu lakukan salah Sahabat. Abaikan pembenci dan lakukan yang terbaik
168,伤心/sadness, ,Orang yang paling aku tak sangka2 nak sakitkan hati aku ulang2 kali adalah di kalangan orang2 tersayang.
169,害怕/fear, ,Ada kontak nya mas untuk evakuasi? Teman saya masih ada yang terjebak banjir thank you
170,害怕/fear, ,"D jakarta ada bidara china yang langganan banjir, d cibitung ada vilamutiara, semoga lekas surut"
171,害怕/fear, ,"2020 - mari kita cerdaskan bangsa ini sama sama, kita lunakan hati  yang keras, kita hajar para pembodoh"
172,开心/happiness, ,Jelas dong!! Aku selalu mentarget tiap tahun walopun ada yang tidak tercapai. Saya tidak pernah bosan.
173,厌恶/disgust, ,Betul la orang kata. Yang bagi pinjam ni lagi rasa segan nak minta duit yang dipinjamkan.
174,开心/happiness, ,untuk memeriahkan penyambutan hari baru. tanggal baru. bulan baru dan tahun yang baru #SelamatTahunBaru2020
175,喜欢/like, ,"""Ibu dia adalah orang yang paling kuat di bumi ini.""- Suneo #Quote"
176,伤心/sadness, ,"Ketika rindu sudah dianggap tidak penting, lantas temu seperti apa lagi yang patut aku tunggu(?)"
177,伤心/sadness,喜欢/like,"Dengarkan suara hatimu, bukan suara hati orang lain. Karena yang bertanggung jawab atas kebahagiaanmu adalah dirimu sendiri.."
178,喜欢/like, ,Orang yang paling aku sukai adalah dia yang menunjukkan kesalahanku.(Umar bin Khattab)
179,厌恶/disgust, ,Satu hal yang tidak kusukai di tahun baru yaitu akan ada umur yang semakin menua 
180,开心/happiness, ,Mari Bubarkan UN di Indonesia !! 2013 UN yang terakhir !! #BubarkanUN #BubarkanUNIndonesia
181,开心/happiness, ,"Semoga di tahun yang baru ini selalu diberikan kebahagiaan, kesehatan, keberkahan ,dan kedamaian selalu menyertai."
182,惊喜/surprise, ,"Mutualku yang baru kenalan kuyyy,  kayaknya sih aku lebih tua. Aku Naila 98L,  kalian??? "
183,伤心/sadness, ,sedih gak si kalo kalian temenan bertiga trs kalian selalu jd orang terakhir yang tau apa apa
184,伤心/sadness, ,"Udah fase dimana merasa ranjang terlalu lebar, dan pengen ada yang isi untuk sehidup semati."
185,开心/happiness, ,nikmatin aja apa yang Tuhan kasih dihidup lo. banyak2 bersyukur biar makin berasa tuh nikmatnya
186,伤心/sadness, ,"Diluar emang tersenyum, ketawa tapi dalem hatinya seseorang siapa yang tau. :''')"
187,厌恶/disgust, ,Jika kamu tidak disibukkan dengan hal yang bermanfaat. Maka kamu akan disibukkan dengan malas dan kemaksiatan
188,喜欢/like, ,"Seorang wanita yang baik dicintai oleh banyak pria, tetapi hanya mencintai seorang pria. #duniabijak"
189,生气/anger, ,dipertemukan dengan................ dengan siapa yang jelas!! jawab!!
190,惊喜/surprise, ,Nangis. Lo dodol banget maksud gue lo yang rame!!!!!
191,喜欢/like, ,"Bagi suami, ada rasa bangga dan bahagia istrinya menyusui anak kandungnya. Itu mungkin yang tidak mereka sadari."
192,喜欢/like, ,"Hujan di pagi hari saatnya untuk menarik selimut kembali, sungguh suasana yang sangat di nanti."
193,开心/happiness, ,"Selamat tahun baru, selamat tinggal masa lalu. Terima kasih dengan segala waktu yang kini sudah berlalu."
194,喜欢/like, ,"Tuhan, sampaikanlah aku di masa dewasa yang mapan dan sejahtera, yang membanggakan orang tuaku. Aamii"
195,开心/happiness, ,Tahun ni aku dah 27. Aku sampaikan ucap selamat kepada semua yang sama umur dengan aku
196,开心/happiness, ,"!RP Ada yang mau akun gak? Aku kasih gratis, rep dengan alasan"
197,开心/happiness, ,"Done kak, btw happy birthday ya kak! Sehat selalu, semoga yang diinginkan terwujud semua ya kak. "
198,伤心/sadness, ,happy new year juga chér sayang. tetep jomblol aja mending yang penting ikhlas.
199,伤心/sadness, ,Kasih sayang adalah ANUGERAH TERBESAR dalam kehidupan - APALAGI jika Anda mendapatkan orang yang mau memberikannya dengan ikhlas kepada Anda
200,喜欢/like, ,ytl ) masih ada lagi yang belum tidur dan mau ngobrol sama saya? -osh
201,厌恶/disgust, ,"Kenapa razia kondom, kenapa ga kos kosan, hotel, atau tempat tempat yang sepi yang gelap gelap"
202,开心/happiness, ,Selamat hari lahir untuk yang befday dia sama dengan ayah saya!! Bapak awal keluar dunia
203,开心/happiness, ,"Menunggu kejutan lainnya tahun ini,semoga aja bisa membawa jadi pribadi yang lebih baik lagi hwhw"
204,害怕/fear, ,"Andai ku tahu kapan tiba ajalku, aku takut akan semua dosa-dosaku yang terus membayangiku"
205,害怕/fear, ,"Semoga yang rumahnya kebanjiran, bisa cepet surut. Semangat guys, dan hati-hati selalu "
206,开心/happiness, ,"Terima kasih untuk tahun 2019, yang selalu mengajarkan saya dari datang dan perginya seorang manusia."
207,喜欢/like, ,"akhir-akhir ini kalo minum yang manis-manis kek diterpa rasa bersalah. bagus bagus, pertahankan!"
208,喜欢/like, ,"Ya Allah, jadikan aku sebagai orang-orang yang selalu bersyukur atas kejadian dan anugrah yang Engkau beri."
209,喜欢/like, ,SIAPP KAPTENN!! Semogaa ditahun inii ombak yang menerjang gak kerass bangett gakk bikin semangat rusak 
210,开心/happiness, ,Happy birthday ya kak semoga apa yang diharapkan cepat twrwujud dan selalu diberikan keberkahan setiap harinya aamiin
211,喜欢/like, ,"mau tanya, kalian yang masih sekolah? kalo iya smk atau sma? terus jurusan apa?"
212,厌恶/disgust, ,Hal yang kamu tidak sukai dimasa lalu justru menjadi hal yang paling kamu rindukan dimasa kini #WhatIFeel
213,开心/happiness, ,"banyak banget yang aku suka, cuma snsd sama pristin punya tempat tersendiri di hatiku heheheh"
214,开心/happiness, ,Udah sakit fisik eh ditambah sakit batin tapi alhamdulillah aja masih diberi keukatan untuk menjalani hari hari yang berat ini
215,喜欢/like, ,"Cewek cantik itu yang senyumnya untuk semua orang, tapi hatinya hanya untuk cowok yang dia sayang."
216,伤心/sadness, ,"Kasih sayang tidak dapat dengan memohon pada orang lain, melainkan diperoleh dari sumbangsih yang diberikan."
217,厌恶/disgust, ,(To sakura) Aku tidak suka dengan orang yang membohongi dirinya sendiri ditengah turunnya salju #bot
218,开心/happiness, ,Crush aku cakap happy new year Ya Allah nampak dah 2020 aku tahun yang hebat
219,开心/happiness, ,Lagi mempersiapkan diri jadi ibu yang baik :). Skripsi kapan kelar? Wkwk
220,喜欢/like,开心/happiness,"Wkwkw,kucingnya auto pilot,kayak pemprov dki,wkwk,dki lagi yang kena deh,"
221,喜欢/like, ,"Demi apa aku menemukan banana chips yang enak bangeeet, mana rasanua honey butter gilaaaak enak parah"
222,伤心/sadness, ,hpnya pada gak aktif ini yang di rumah.. belum surut kali ya jadi masi mati listrik.. ckck :|||
223,害怕/fear, ,jadi air mineral bisa mengendap dan jika kita meminumnya terdapat asam karbonat yang berbahaya bagi tubuh
224,开心/happiness, ,"Keren gitu liat orang orang yang pacenya cepet. Huhuhu. Tapi gapapaa, semangat aja dulu"
225,喜欢/like, ,Jika rupa yang membuat kau jatuh cinta. Bagaimana cara kau mencintai Allah swt yang tak berupa?
226,开心/happiness, ,"Yang penting itu alhamdullilah masih belum ada yang diungkap, dan Nayeon masih aman sampek sekarang"
227,厌恶/disgust, ,"Aku tidak akan bodoh lagi jika memang kamu sudah temukan yang baru maka aku akan benar"" pergi"
